BS,ant,Azimuth,Tilt,Beam Pattern
site1,1,100,3,0
site1,1,80,-5,1
site1,1,80,-5,4
site1,1,130,11,0
site1,1,130,-7,10
site1,1,130,3,1
site1,1,90,5,9
site1,1,90,13,5
site1,1,70,13,0
site1,1,110,-3,9
site1,1,70,1,13
site1,1,110,-5,2
site1,1,70,5,1
site1,1,70,11,15
site1,1,70,-1,15
site1,1,70,7,13
site1,1,100,5,16
site1,1,100,-3,16
site1,1,130,1,10
site1,1,120,11,5
site1,2,270,3,0
site1,2,260,7,15
site1,2,280,-5,5
site1,2,300,5,15
site1,2,260,3,8
site1,2,260,11,1
site1,2,300,7,1
site1,2,300,13,6
site1,2,260,-3,8
site1,2,280,11,11
site1,2,280,-5,14
site1,2,260,-5,4
site1,2,300,11,0
site1,2,250,5,9
site1,2,270,1,16
site1,2,250,7,14
site1,2,300,7,2
site1,2,270,11,13
site1,2,250,3,13
site1,2,260,7,2
site1,3,0,3,0
site1,3,0,7,2
site1,3,0,13,1
site1,3,340,-1,14
site1,3,30,11,8
site1,3,10,13,0
site1,3,350,7,7
site1,3,20,-5,12
site1,3,20,11,11
site1,3,350,13,5
site1,3,0,5,3
site1,3,30,13,4
site1,3,0,3,10
site1,3,330,-5,2
site1,3,10,7,3
site1,3,20,5,5
site1,3,20,3,4
site1,3,30,-7,10
site1,3,330,13,10
site1,3,350,-5,2
site2,4,335,5,0
site2,4,345,5,4
site2,4,335,15,10
site2,4,335,1,11
site2,4,335,-3,0
site2,4,305,13,6
site2,4,315,-1,6
site2,4,315,7,11
site2,4,315,-5,5
site2,4,5,9,12
site2,4,315,13,5
site2,4,315,13,3
site2,4,355,15,10
site2,4,315,-5,13
site2,4,335,-3,4
site2,4,315,1,6
site2,4,315,-3,10
site2,4,5,1,12
site2,4,355,5,16
site2,4,335,13,12
site2,5,125,8,0
site2,5,145,2,14
site2,5,105,2,0
site2,5,125,0,16
site2,5,155,10,2
site2,5,105,8,14
site2,5,105,4,10
site2,5,155,14,16
site2,5,135,14,0
site2,5,95,18,13
site2,5,125,4,0
site2,5,135,16,2
site2,5,145,-2,8
site2,5,125,4,1
site2,5,125,8,7
site2,5,155,4,5
site2,5,115,18,6
site2,5,125,8,15
site2,5,125,6,5
site2,5,95,0,7
site2,6,175,5,0
site2,6,155,7,16
site2,6,195,-3,12
site2,6,145,-5,0
site2,6,175,13,10
site2,6,145,3,15
site2,6,195,-5,9
site2,6,175,9,15
site2,6,175,11,16
site2,6,195,3,1
site2,6,175,5,9
site2,6,205,5,1
site2,6,205,7,1
site2,6,195,5,13
site2,6,195,7,11
site2,6,175,1,15
site2,6,155,15,8
site2,6,185,11,15
site2,6,175,-1,15
site2,6,205,1,5
site3,7,170,3,0
site3,7,150,11,11
site3,7,170,5,13
site3,7,140,-1,11
site3,7,140,-3,4
site3,7,160,-7,15
site3,7,150,11,10
site3,7,180,-7,15
site3,7,170,-7,7
site3,7,190,-1,8
site3,7,150,9,10
site3,7,180,3,5
site3,7,200,-7,5
site3,7,190,-7,11
site3,7,150,-1,15
site3,7,160,3,3
