SiteName SiteID CellName CellID X Y Z Azimuth Downtilt Antenna
site1 1 cell1 1 138.07 1101.27 11 100 3 0
site1 1 cell2 2 138.07 1101.27 11 270 3 0
site1 1 cell3 3 138.07 1101.27 11 0 3 0
site2 2 cell4 4 419.5 1186.36 25 335 5 0
site2 2 cell5 5 419.5 1186.36 25 125 8 0
site2 2 cell6 6 419.5 1186.36 25 175 5 0
site3 3 cell7 7 1583.26 686.97 19 170 3 0
site3 3 cell8 8 1583.26 686.97 19 0 3 0
site3 3 cell9 9 1583.26 686.97 19 270 3 0
site4 4 cell10 10 602.5 599.26 30 60 3 0
site4 4 cell11 11 602.5 599.26 30 330 3 0
site5 5 cell12 12 1740.06 688.63 34 345 12 0
site5 5 cell13 13 1740.06 688.63 34 190 7 0
site5 5 cell14 14 1740.06 688.63 34 75 12 0
site6 6 cell15 15 1362.21 202.01 35 260 3 0
site6 6 cell16 16 1362.21 202.01 35 190 3 0
site6 6 cell17 17 1362.21 202.01 35 350 3 0
site7 7 cell18 18 1048.07 407.32 13 140 3 0
site7 7 cell19 19 1048.07 407.32 13 340 3 0
site8 8 cell20 20 1127.74 1702.46 23 195 14 0
site8 8 cell21 21 1127.74 1702.46 23 40 18 0
site8 8 cell22 22 1127.74 1702.46 23 280 10 0
site9 9 cell23 23 922.49 820.99 27 190 10 0
site9 9 cell24 24 922.49 820.99 27 20 16 0
site9 9 cell25 25 922.49 820.99 27 100 10 0
site10 10 cell26 26 656.67 1630.95 33 180 3 0
site10 10 cell27 27 656.67 1630.95 33 60 3 0
site10 10 cell28 28 656.67 1630.95 33 300 3 0
site11 11 cell29 29 1150.14 959.58 10 280 2 0
site11 11 cell30 30 1150.14 959.58 10 100 2 0
site12 12 cell31 31 1003.91 694.69 45 295 20 0
site12 12 cell32 32 1003.91 694.69 45 50 8 0
site12 12 cell33 33 1003.91 694.69 45 165 13 0
site13 13 cell34 34 845.26 1574.11 30 120 2 0
site13 13 cell35 35 845.26 1574.11 30 240 2 0
site13 13 cell36 36 845.26 1574.11 30 0 2 0
site14 14 cell37 37 567.18 974.07 35 140 10 0
site14 14 cell38 38 567.18 974.07 35 220 10 0
site14 14 cell39 39 567.18 974.07 35 350 12 0
site15 15 cell40 40 336.6 871.07 24 250 3 0
site15 15 cell41 41 336.6 871.07 24 140 3 0
site15 15 cell42 42 336.6 871.07 24 0 3 0
site16 16 cell43 43 1177.06 1125.35 10 230 3 0
site16 16 cell44 44 1177.06 1125.35 10 20 3 0
site17 17 cell45 45 926.67 1256.96 19 130 3 0
site17 17 cell46 46 926.67 1256.96 19 45 3 0
site17 17 cell47 47 926.67 1256.96 19 225 3 0
site18 18 cell48 48 601.9 460.57 21 340 3 0
site18 18 cell49 49 601.9 460.57 21 240 3 0
site18 18 cell50 50 601.9 460.57 21 80 3 0
site20 20 cell54 54 1407.11 1246.14 25 260 11 0
site20 20 cell55 55 1407.11 1246.14 25 150 8 0
site20 20 cell56 56 1407.11 1246.14 25 20 7 0
site21 21 cell57 57 508.96 1421.58 35 270 15 0
site21 21 cell58 58 508.96 1421.58 35 130 12 0
site21 21 cell59 59 508.96 1421.58 35 60 5 0

