buildingid X Y Z
1 895.94 845.28 45
1 880.61 844.75 45
1 880.28 854.08 45
1 893.51 854.54 45
1 893.47 856.65 45
1 908.22 857.19 45
1 908.47 848.2 45
1 895.81 847.83 45
1 895.94 845.28 45
2 906.85 870.32 45
2 863.39 866.9 45
2 862.52 877.8 45
2 905.98 881.21 45
2 906.85 870.32 45
3 889.44 892.92 45
3 867.83 892.21 45
3 867.52 902.42 45
3 887.8 903.05 45
3 887.74 904.5 45
3 908.59 905.12 45
3 908.82 895.79 45
3 889.31 895.14 45
3 889.44 892.92 45
4 863.44 891.42 45
4 843.65 891.11 45
4 843.52 901.21 45
4 863.32 901.52 45
4 863.44 891.42 45
5 538.55 1672.6 5
5 513.36 1661.65 5
5 506.53 1677.36 5
5 531.73 1688.3 5
5 538.55 1672.6 5
6 566.75 1660.04 5
6 523.13 1645.88 5
6 519.87 1656.06 5
6 563.5 1670.22 5
6 566.75 1660.04 5
7 583.17 1651.32 9
7 586.43 1641.37 9
7 535.41 1624.39 9
7 529.94 1640.95 9
7 574.63 1655.86 9
7 577.03 1649.25 9
7 583.17 1651.32 9
8 583.17 1651.32 9
8 577.03 1649.25 9
8 574.63 1655.86 9
8 580.96 1657.92 9
8 583.17 1651.32 9
9 537.04 1620.91 5
9 535.29 1619.73 5
9 521.94 1640.36 5
9 523.68 1641.54 5
9 537.04 1620.91 5
10 576.72 1610.86 9
10 575.66 1610.55 9
10 573.75 1610.04 9
10 572.69 1609.74 9
10 555.44 1604.49 9
10 551.59 1617.34 9
10 575.54 1624.54 9
10 579.4 1611.68 9
10 576.72 1610.86 9
11 625.65 1642.98 5
11 599.49 1634.95 5
11 596.77 1644 5
11 622.93 1652.03 5
11 625.65 1642.98 5
12 618.14 1635.83 5
12 607.21 1632.1 5
12 606.15 1635.23 5
12 617.08 1638.97 5
12 618.14 1635.83 5
13 618.02 1612.31 9
13 612.27 1610.56 9
13 588.5 1603.36 9
13 586.41 1610.85 9
13 632.12 1624.73 9
13 634.5 1617.35 9
13 618.02 1612.31 9
14 588.5 1603.36 5
14 577.01 1599.87 5
14 573.75 1610.04 5
14 575.66 1610.55 5
14 576.72 1610.86 5
14 577.6 1608.18 5
14 586.41 1610.85 5
14 588.5 1603.36 5
15 646.95 1523.95 9
15 640.21 1535.43 9
15 637.41 1533.72 9
15 625.77 1569.62 9
15 642.65 1575.21 9
15 657.48 1530.24 9
15 646.95 1523.95 9
16 799.72 1728.62 24
16 764.09 1710.52 24
16 757.38 1723.66 24
16 793.02 1741.77 24
16 799.72 1728.62 24
17 809.69 1701.53 24
17 771.83 1685.92 24
17 767.8 1695.79 24
17 805.56 1711.4 24
17 809.69 1701.53 24
18 821.45 1674.29 24
18 780.54 1654.54 24
18 774.67 1666.66 24
18 815.58 1686.41 24
18 821.45 1674.29 24
19 845.96 1677.24 5
19 826.95 1669.72 5
19 823.55 1678.23 5
19 842.56 1685.76 5
19 845.96 1677.24 5
20 871.51 1638.46 24
20 838.43 1627.84 24
20 834.55 1639.8 24
20 867.63 1650.42 24
20 871.51 1638.46 24
21 854.57 1660.39 24
21 825.07 1651.9 24
21 821.83 1663.08 24
21 851.33 1671.57 24
21 854.57 1660.39 24
22 826.85 1643.32 24
22 788.89 1627.6 24
22 784.14 1639.03 24
22 822.1 1654.75 24
22 826.85 1643.32 24
23 839.96 1616.82 24
23 806.87 1605.53 24
23 803.15 1616.38 24
23 836.24 1627.67 24
23 839.96 1616.82 24
24 904.7 1601.27 18
24 872.42 1591.84 18
24 869.36 1602.35 18
24 900.58 1611.46 18
24 901.64 1611.77 18
